customer_name,address,city,state,postal_code,email,phone_number,loan_id,loan_purpose,loan_amount,total_payable,loan_duration_months,interest_rate,reference_number,payment_date,installment_number,total_installments,payment_method,payment_amount,total_paid_to_date,remaining_balance,current_repayment_status,filename,pageNumber
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-001,11-10-2022,1,49,Bank Transfer,3479.02,3479.02,166992.96,Paid,CUST-0008_Aurore_Chinnick.pdf,1
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-002,11-11-2022,2,49,Auto Debit,3479.02,6958.04,163513.94,Paid,CUST-0008_Aurore_Chinnick.pdf,2
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-003,11-12-2022,3,49,Auto Debit,3479.02,10437.06,160034.92,Paid,CUST-0008_Aurore_Chinnick.pdf,3
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-004,11-01-2023,4,49,Bank Transfer,3479.02,13916.08,156555.9,Paid,CUST-0008_Aurore_Chinnick.pdf,4
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-005,13-02-2023,5,49,Auto Debit,3479.02,17395.1,153076.88,Paid,CUST-0008_Aurore_Chinnick.pdf,5
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-006,18-03-2023,6,49,Virtual Account,3479.02,20874.12,149597.86,Late,CUST-0008_Aurore_Chinnick.pdf,6
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-007,12-04-2023,7,49,Bank Transfer,3479.02,24353.14,146118.84,Paid,CUST-0008_Aurore_Chinnick.pdf,7
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-008,27-05-2023,8,49,Virtual Account,3479.02,27832.16,142639.82,Late,CUST-0008_Aurore_Chinnick.pdf,8
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-009,12-06-2023,9,49,Virtual Account,3479.02,31311.18,139160.8,Paid,CUST-0008_Aurore_Chinnick.pdf,9
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-010,14-07-2023,10,49,Auto Debit,3479.02,34790.2,135681.78,Paid,CUST-0008_Aurore_Chinnick.pdf,10
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-011,13-08-2023,11,49,Virtual Account,3479.02,38269.22,132202.76,Paid,CUST-0008_Aurore_Chinnick.pdf,11
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-012,15-09-2023,12,49,Auto Debit,3479.02,41748.24,128723.74,Paid,CUST-0008_Aurore_Chinnick.pdf,12
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-013,15-10-2023,13,49,Virtual Account,3479.02,45227.26,125244.72,Paid,CUST-0008_Aurore_Chinnick.pdf,13
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-014,11-11-2023,14,49,Auto Debit,3479.02,48706.28,121765.7,Paid,CUST-0008_Aurore_Chinnick.pdf,14
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-015,13-12-2023,15,49,Auto Debit,3479.02,52185.3,118286.68,Paid,CUST-0008_Aurore_Chinnick.pdf,15
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-016,11-01-2024,16,49,Virtual Account,3479.02,55664.32,114807.66,Paid,CUST-0008_Aurore_Chinnick.pdf,16
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-017,14-02-2024,17,49,Virtual Account,3479.02,59143.34,111328.64,Paid,CUST-0008_Aurore_Chinnick.pdf,17
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-018,11-03-2024,18,49,Virtual Account,3479.02,62622.36,107849.62,Paid,CUST-0008_Aurore_Chinnick.pdf,18
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-019,27-04-2024,19,49,Auto Debit,3479.02,66101.38,104370.6,Late,CUST-0008_Aurore_Chinnick.pdf,19
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-020,11-05-2024,20,49,Auto Debit,3479.02,69580.4,100891.58,Paid,CUST-0008_Aurore_Chinnick.pdf,20
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-021,11-06-2024,21,49,Bank Transfer,3479.02,73059.42,97412.56,Paid,CUST-0008_Aurore_Chinnick.pdf,21
Aurore Chinnick,19508 Atwood Circle,Alhambra,California,91841,achinnick7@washington.edu,626-554-1926,LOAN-0008,Home improvement,69017,170471.98,49,300%,TRX-LOAN-0008-022,12-07-2024,22,49,Bank Transfer,3479.02,76538.44,93933.54,Paid,CUST-0008_Aurore_Chinnick.pdf,22
