customer_id,first_name,last_name,age,email,phone_number,address,city,state,postal_code,employment_status,credit_score
CUST-0001,Mair,Snar,46,msnar0@clickbank.net,770-928-2687,3 New Castle Junction,Marietta,Georgia,30061,Employed,556
CUST-0002,Haley,Sloey,36,hsloey1@usatoday.com,704-759-5467,1 Dennis Circle,Charlotte,North Carolina,28205,Employed,512
CUST-0003,Eleni,Zannuto,48,ezannuto2@ustream.tv,763-316-1731,7 Melody Junction,Minneapolis,Minnesota,55448,Employed,593
CUST-0004,Brynna,Matteris,60,bmatteris3@tripod.com,305-826-2901,0116 School Terrace,Miami,Florida,33142,Self-employed,574
CUST-0005,Karel,Torrans,54,ktorrans4@themeforest.net,253-249-9245,196 Lawn Place,Tacoma,Washington,98417,Unemployed,736
CUST-0006,Rianon,Ousbie,48,rousbie5@weather.com,609-559-9688,27 Eggendart Place,Trenton,New Jersey,8608,Employed,350
CUST-0007,Victor,Czadla,31,vczadla6@cnbc.com,208-382-9830,06922 Donald Crossing,Idaho Falls,Idaho,83405,Employed,440
CUST-0008,Aurore,Chinnick,48,achinnick7@washington.edu,626-554-1926,19508 Atwood Circle,Alhambra,California,91841,Employed,744
CUST-0009,Emogene,Waddell,40,ewaddell8@e-recht24.de,970-352-0087,07227 Caliangt Center,Grand Junction,Colorado,81505,Employed,780
CUST-0010,Dorothea,Jeanet,55,djeanet9@friendfeed.com,801-558-4451,0 Bay Trail,Salt Lake City,Utah,84130,Self-employed,816
CUST-0011,Corrinne,Mila,59,cmilaa@issuu.com,559-500-5583,47 Delladonna Lane,Fresno,California,93773,Employed,334
CUST-0012,Ottilie,Shellum,58,oshellumb@ehow.com,858-946-0754,5 Butterfield Pass,Orange,California,92668,Employed,318
CUST-0013,Alleen,Vassano,24,avassanoc@canalblog.com,205-669-5961,91072 Merrick Way,Birmingham,Alabama,35295,Employed,708
CUST-0014,North,Thorley,43,nthorleyd@bloglovin.com,615-753-2873,04246 Heffernan Place,Nashville,Tennessee,37240,Self-employed,467
CUST-0015,Piper,Womack,57,pwomacke@pcworld.com,202-541-7569,070 Kings Center,Washington,District of Columbia,20231,Unemployed,744
CUST-0016,Melony,Pentland,39,mpentlandf@twitter.com,915-395-2786,0 Chive Point,El Paso,Texas,79968,Employed,407
CUST-0017,Tansy,Tedahl,20,ttedahlg@pagesperso-orange.fr,864-254-9048,77 Beilfuss Lane,Greenville,South Carolina,29610,Self-employed,351
CUST-0018,Jamaal,Brambell,19,jbrambellh@51.la,719-782-6890,3 Buena Vista Avenue,Colorado Springs,Colorado,80951,Unemployed,484
CUST-0019,Brig,Yushkin,37,byushkini@indiegogo.com,925-919-5504,1358 Dapin Parkway,Concord,California,94522,Unemployed,380
CUST-0020,Maximilianus,Wallbank,55,mwallbankj@wired.com,208-130-2193,2 Helena Street,Idaho Falls,Idaho,83405,Employed,742
CUST-0021,Gottfried,Henden,22,ghendenk@mac.com,305-384-5363,65435 Lakeland Trail,Naples,Florida,33961,Employed,588
CUST-0022,Rufus,Culverhouse,58,rculverhousel@sun.com,406-533-5765,56 Mesta Center,Missoula,Montana,59806,Self-employed,363
CUST-0023,Odella,Eccleshare,60,oecclesharem@geocities.jp,314-190-3422,220 Dahle Trail,Saint Louis,Missouri,63158,Employed,835
CUST-0024,Clary,Winspar,22,cwinsparn@mail.ru,615-878-1753,2 Manufacturers Way,Nashville,Tennessee,37228,Employed,517
CUST-0025,Karoly,Jebb,18,kjebbo@buzzfeed.com,858-483-3650,49 Ohio Terrace,San Diego,California,92145,Self-employed,711
CUST-0026,Claudio,Halifax,42,chalifaxp@bloomberg.com,415-874-7405,28635 Moose Trail,San Francisco,California,94142,Self-employed,767
CUST-0027,Lyn,Checkley,43,lcheckleyq@weebly.com,312-423-7448,77 Scott Circle,Chicago,Illinois,60691,Unemployed,344
CUST-0028,Rebe,Corwin,46,rcorwinr@ezinearticles.com,719-556-8782,2 Sachtjen Alley,Pueblo,Colorado,81005,Employed,423
CUST-0029,Mina,Madden,31,mmaddens@intel.com,212-134-9079,0 7th Avenue,New York City,New York,10125,Employed,758
CUST-0030,Noby,Dolley,40,ndolleyt@twitpic.com,804-362-1452,66 Cottonwood Junction,Richmond,Virginia,23289,Self-employed,480
CUST-0031,Kassia,Rowlatt,53,krowlattu@trellian.com,302-400-2593,34 Nobel Junction,Wilmington,Delaware,19810,Self-employed,670
CUST-0032,Rebbecca,Reide,59,rreidev@mail.ru,339-125-9834,8365 5th Lane,Woburn,Massachusetts,1813,Self-employed,539
