customer_id,first_name,last_name,age,email,phone_number,address,city,state,postal_code,employment_status,credit_score,currency,loan_amount,loan_duration_months,interest_rate,monthly_payment,total_payable,loan_purpose,application_date,approval_date,loan_status,loan_id,bank_name
CUST-0008,Aurore,Chinnick,48,achinnick7@washington.edu,626-554-1926,19508 Atwood Circle,Alhambra,California,91841,Employed,744,USD,69017,49,0.03,"$3.479,02","$170.471,98",Home improvement,09/09/2022,11/09/2022,Approved,LOAN-0008,Pinneberg
CUST-0009,Emogene,Waddell,40,ewaddell8@e-recht24.de,970-352-0087,07227 Caliangt Center,Grand Junction,Colorado,81505,Employed,780,USD,15959,40,0.01,"$558,57","$22.342,80",Education,16/04/2022,16/04/2022,Approved,LOAN-0009,STAUNTON
CUST-0010,Dorothea,Jeanet,55,djeanet9@friendfeed.com,801-558-4451,0 Bay Trail,Salt Lake City,Utah,84130,Self-employed,816,USD,78370,44,0.09,"$8.834,44","$388.715,36",Debt consolidation,09/12/2022,10/12/2022,Approved,LOAN-0010,ATLANTA
CUST-0013,Alleen,Vassano,24,avassanoc@canalblog.com,205-669-5961,91072 Merrick Way,Birmingham,Alabama,35295,Employed,708,USD,86557,5,0.07,"$23.370,39","$116.851,95",Home improvement,24/10/2022,26/10/2022,Approved,LOAN-0013,ENGLEWOOD CLIFFS
CUST-0020,Maximilianus,Wallbank,55,mwallbankj@wired.com,208-130-2193,2 Helena Street,Idaho Falls,Idaho,83405,Employed,742,USD,59177,22,0.03,"$4.465,17","$98.233,74",Home improvement,04/09/2022,06/09/2022,Approved,LOAN-0020,MILANO
CUST-0023,Odella,Eccleshare,60,oecclesharem@geocities.jp,314-190-3422,220 Dahle Trail,Saint Louis,Missouri,63158,Employed,835,USD,82160,15,0.05,"$9.585,33","$143.779,95",Home improvement,06/05/2022,08/05/2022,Approved,LOAN-0023,PARIS
CUST-0025,Karoly,Jebb,18,kjebbo@buzzfeed.com,858-483-3650,49 Ohio Terrace,San Diego,California,92145,Self-employed,711,USD,69780,5,0.06,"$18.142,80","$90.714,00",Home improvement,26/06/2022,28/06/2022,Approved,LOAN-0025,HERMITAGE
CUST-0026,Claudio,Halifax,42,chalifaxp@bloomberg.com,415-874-7405,28635 Moose Trail,San Francisco,California,94142,Self-employed,767,USD,94925,27,0.09,"$12.058,99","$325.592,73",Home improvement,19/03/2022,21/03/2022,Approved,LOAN-0026,PITTSBURGH
CUST-0029,Mina,Madden,31,mmaddens@intel.com,212-134-9079,0 7th Avenue,New York City,New York,10125,Employed,758,USD,55998,60,0.06,"$4.293,18","$257.590,80",Debt consolidation,30/06/2022,30/06/2022,Approved,LOAN-0029,SAN JUAN
CUST-0035,Aksel,Traice,39,atraicey@skype.com,267-994-9600,0 Delaware Alley,Levittown,Pennsylvania,19058,Self-employed,539,USD,60851,27,0.07,"$6.513,31","$175.859,37",Education,15/12/2022,17/12/2022,Approved,LOAN-0035,BIRMINGHAM
CUST-0037,Hedvige,Littrik,43,hlittrik10@unblog.fr,510-936-7003,11 Miller Parkway,Berkeley,California,94705,Employed,703,USD,55348,22,0.02,"$3.622,78","$79.701,16",Education,11/02/2022,11/02/2022,Approved,LOAN-0037,LUXEMBOURG
CUST-0041,Lucian,Van Son,24,lvanson14@clickbank.net,618-223-5683,3 Corscot Park,East Saint Louis,Illinois,62205,Self-employed,707,USD,95914,40,0.08,"$10.070,97","$402.838,80",Home improvement,18/09/2022,18/09/2022,Approved,LOAN-0041,NAPERVILLE
CUST-0042,Meggi,Fehner,47,mfehner15@reverbnation.com,913-896-8303,270 Eagle Crest Parkway,Shawnee Mission,Kansas,66276,Self-employed,665,USD,70703,45,0.06,"$5.813,36","$261.601,20",Home improvement,25/12/2022,27/12/2022,Approved,LOAN-0042,Bratislava
CUST-0044,Stanley,Dawltrey,48,sdawltrey17@gravatar.com,559-537-9420,0 Packers Point,Fresno,California,93709,Employed,742,USD,2522,17,0.04,"$249,23","$4.236,91",Debt consolidation,03/01/2022,04/01/2022,Approved,LOAN-0044,MILANO
CUST-0051,Rainer,Brosoli,31,rbrosoli1e@redcross.org,707-563-7449,2162 Browning Plaza,Santa Rosa,California,95405,Employed,697,USD,34348,14,0.08,"$5.201,27","$72.817,78",Home improvement,17/08/2022,18/08/2022,Approved,LOAN-0051,Ostrhauderfehn
CUST-0053,Jenn,Blurton,26,jblurton1g@irs.gov,530-729-5333,85543 Union Junction,Sacramento,California,95818,Employed,609,USD,12971,4,0.03,"$3.631,88","$14.527,52",Education,01/04/2022,02/04/2022,Approved,LOAN-0053,CONWAY
CUST-0055,Janel,Ambrodi,49,jambrodi1i@deliciousdays.com,704-274-4705,0758 Porter Drive,Charlotte,North Carolina,28256,Self-employed,539,USD,86424,60,0.08,"$8.354,32","$501.259,20",Home improvement,22/03/2022,22/03/2022,Approved,LOAN-0055,NAPERVILLE
CUST-0056,Husein,Ghione,41,hghione1j@smh.com.au,334-581-4645,4 Hoepker Point,Montgomery,Alabama,36104,Employed,630,USD,51406,10,0.06,"$8.224,96","$82.249,60",Home improvement,28/08/2022,29/08/2022,Approved,LOAN-0056,TAMPA
CUST-0059,Tulley,Ainsworth,52,tainsworth1m@aol.com,303-212-8180,05 Brentwood Junction,Boulder,Colorado,80328,Employed,651,USD,48953,37,0.08,"$5.239,29","$193.853,73",Home improvement,30/01/2022,01/02/2022,Approved,LOAN-0059,PARIS
CUST-0061,Ashli,Strauss,44,astrauss1o@4shared.com,832-559-5383,13102 Becker Street,Houston,Texas,77070,Employed,689,USD,51611,26,0.04,"$4.049,48","$105.286,48",Education,11/11/2022,12/11/2022,Approved,LOAN-0061,Lyon
CUST-0063,Logan,Fardy,29,lfardy1q@chron.com,215-854-8912,8526 Arapahoe Alley,Philadelphia,Pennsylvania,19093,Employed,708,USD,37227,3,0.06,"$14.642,62","$43.927,86",Education,30/04/2022,01/05/2022,Approved,LOAN-0063,Glinojeck
CUST-0064,Correy,Berard,60,cberard1r@wikispaces.com,510-502-8309,6334 Pond Pass,Oakland,California,94660,Employed,695,USD,67447,25,0.06,"$6.744,70","$168.617,50",Education,13/06/2022,15/06/2022,Approved,LOAN-0064,WAUSAU
CUST-0065,Seumas,Schulkins,24,sschulkins1s@independent.co.uk,317-678-0567,06 Westerfield Court,Indianapolis,Indiana,46278,Employed,667,USD,58951,11,0.06,"$8.896,24","$97.858,64",Debt consolidation,30/05/2022,01/06/2022,Approved,LOAN-0065,PARIS
CUST-0067,Jany,Kures,51,jkures1u@technorati.com,202-322-2876,6 Laurel Junction,Washington,District of Columbia,20078,Employed,769,USD,83891,37,0.09,"$9.817,51","$363.247,87",Home improvement,05/05/2022,05/05/2022,Approved,LOAN-0067,LUBBOCK
CUST-0068,Merv,Ubsdell,42,mubsdell1v@plala.or.jp,804-998-3002,68 Montana Lane,Richmond,Virginia,23228,Employed,607,USD,17505,26,0.09,"$2.248,72","$58.466,72",Home improvement,08/06/2022,09/06/2022,Approved,LOAN-0068,PARIS 09
CUST-0071,Claudianus,Westmorland,44,cwestmorland1y@yelp.com,303-656-1989,421 Glendale Drive,Denver,Colorado,80223,Employed,720,USD,93256,44,0.08,"$9.579,93","$421.516,92",Debt consolidation,21/10/2022,21/10/2022,Approved,LOAN-0071,LEWISTON
CUST-0072,Nico,Poulter,18,npoulter1z@theguardian.com,603-195-9807,90 Clemons Pass,Portsmouth,New Hampshire,3804,Self-employed,610,USD,76526,32,0.07,"$7.748,26","$247.944,32",Education,12/08/2022,12/08/2022,Approved,LOAN-0072,Karlsruhe
CUST-0074,John,Skrines,21,jskrines21@multiply.com,734-285-6748,03505 Sullivan Lane,Detroit,Michigan,48242,Self-employed,539,USD,6581,39,0.02,"$300,36","$11.714,04",Debt consolidation,03/03/2022,05/03/2022,Approved,LOAN-0074,Gänserndorf
CUST-0078,Del,Holley,21,dholley25@latimes.com,561-725-5333,35117 South Center,West Palm Beach,Florida,33421,Self-employed,716,USD,57148,39,0.07,"$5.465,69","$213.161,91",Debt consolidation,01/02/2022,03/02/2022,Approved,LOAN-0078,Meßstetten
CUST-0086,Andree,Mechi,27,amechi2d@intel.com,602-776-9572,0 Dexter Hill,Phoenix,Arizona,85062,Employed,837,USD,67876,49,0.02,"$2.742,74","$134.394,26",Education,01/12/2022,02/12/2022,Approved,LOAN-0086,MINNEAPOLIS
CUST-0087,Trip,Swait,24,tswait2e@abc.net.au,561-207-8301,9741 Mandrake Hill,West Palm Beach,Florida,33405,Employed,653,USD,4109,48,0.04,"$249,96","$11.998,08",Education,20/05/2022,20/05/2022,Approved,LOAN-0087,MOULTRIE
CUST-0088,Eula,Swarbrick,35,eswarbrick2f@mozilla.org,651-951-4631,8 Glacier Hill Junction,Saint Paul,Minnesota,55123,Self-employed,747,USD,33991,29,0.02,"$1.851,92","$53.705,68",Education,24/01/2022,25/01/2022,Approved,LOAN-0088,CAÑETE DE LAS TORRES
CUST-0091,Inga,Peirce,49,ipeirce2i@google.es,214-374-7922,725 Florence Crossing,Dallas,Texas,75310,Employed,818,USD,66154,4,0.03,"$18.523,12","$74.092,48",Debt consolidation,22/09/2022,23/09/2022,Approved,LOAN-0091,CINCINNATI
CUST-0096,Ximenes,Mebes,32,xmebes2n@foxnews.com,973-562-0659,3257 Everett Way,Newark,New Jersey,7104,Self-employed,848,USD,29506,28,0.1,"$4.004,39","$112.122,92",Home improvement,04/08/2022,04/08/2022,Approved,LOAN-0096,MERIDIAN
CUST-0099,Cassi,Barrable,29,cbarrable2q@jiathis.com,312-381-7403,4589 Hauk Place,Chicago,Illinois,60686,Employed,749,USD,20049,59,0.05,"$1.342,26","$79.193,34",Home improvement,16/03/2022,17/03/2022,Approved,LOAN-0099,MONTROUGE
